ID_REF	IDENTIFIER	GSM1276601	GSM1276603	GSM1276604	GSM1276600	GSM1276599	GSM1276602
ILMN_2904819	Fam195a	112.9	185.3	128.1	121.3	165.3	120.7
ILMN_2656915	Bhlha9	18.4	36.8	18.8	17.9	28.3	18.8
ILMN_1234151	Mpdz	14.8	35	13.4	13.2	21.6	15
ILMN_1254513	4930553M18RIK	19.2	43.7	16.1	16.9	25.2	17.8
ILMN_2967445	Itga1	109.9	203.7	124.1	121.7	148.5	117.5
ILMN_1216048	LOC232745	31.6	47.2	35.5	37.2	41.5	31.3
ILMN_2643796	4931419H13RIK	13.4	21.4	13.9	15.5	18.3	11.9
ILMN_2665266	H2-T10	83.5	137.7	73.6	78.3	111.1	56.7
ILMN_2805042	Olfr469	20	36.2	22.7	19.9	27.6	17.1
ILMN_1226082	Map2	17.1	32.6	19.6	18.1	23.3	15.2
ILMN_2540593	LOC385516	13.2	23.9	13.5	13	19.6	10.1
ILMN_2449644	Fbln1	91	133.7	66.7	54.9	121.8	65.7
ILMN_1214608	Plxnd1	288.8	430.2	170.6	157.1	387.6	185
ILMN_1244536	Hnrnpa1	646.6	869.8	555.1	531.7	749.9	516.7
ILMN_3161722	Defb48	43.4	99.1	19.2	21	74.7	28.5
ILMN_2678394	4930557A04Rik	nan	21.5	14.7	12.9	19.6	11.9
ILMN_2724191	Naa10	1910.4	2420.9	2036	1965.8	2213.6	1788.8
ILMN_2833606	Ssr2	2747.3	3240.5	2432.8	2456.7	3216.7	2389.1
ILMN_1249435	Grk5	110	123.9	97.4	103.2	124.7	101.3
ILMN_2455276	Dact2	15.2	31.2	14.7	16.8	30.4	21.9
ILMN_2960243	Trmt12	21.4	36.5	23.6	25.1	38.1	28.4
ILMN_2971314	Dhdh	13.9	27.1	13.1	14.6	25.5	17.8
ILMN_2737073	Cdh11	18.6	31.9	15.5	18.9	34.1	25.3
ILMN_2726603	Gbf1	15.2	23.7	15.4	16.4	24.7	20
ILMN_2421363	4930522O17RIK	6.5	22.9	7.2	7.1	19	14.6
ILMN_2653990	Nphs2	nan	21	10.2	11	18.7	12.7
ILMN_2659269	Gprc5c	14.5	25.5	11.2	13.1	21.6	16.1
ILMN_1253006	LOC639609	11.2	21.3	10.2	12.2	19.2	14.4
ILMN_1247011	LOC237826	12.8	19.1	13.7	15	17.6	15.2
ILMN_2726746	4930513E20RIK	11.4	26.7	11.2	14.5	22.9	17.7
ILMN_2860750	Snrnp27	92.3	148.9	101.9	117.6	139.3	117
ILMN_1220595	Il17a	17.5	26.3	19.1	21.2	24.3	21.2
ILMN_2845542	Oosp2	10.3	27.1	11.2	14.5	21.5	15.8
ILMN_1240724	Olfr560	nan	13.1	6	7.5	10.9	7.9
ILMN_2766942	C430017H16RIK	16.4	21.9	17.6	19	21.2	19.6
ILMN_2636192	Smndc1	14.2	22.9	14.2	15.7	23	21.1
ILMN_1259610	Cd276	277.6	515.8	272.7	296.8	442.9	409.7
ILMN_1235807	LOC675933	12.3	24.8	14.2	15.6	21.1	20
ILMN_1247184	AK037204	5.3	14.5	5.6	6.7	10.2	10.9
ILMN_2438819	Rtl1	14.4	27.9	14.8	18.2	24.8	21.6
ILMN_1230552	Smchd1	27.2	48.5	27.4	32.2	44.2	40.6
ILMN_2908687	Rasgrp3	54.2	108.1	29.7	37.3	72.2	54
ILMN_2785648	Cd207	nan	17.4	6.7	8.1	14.7	11.2
ILMN_2477324	Trim10	24.3	38	15.2	20.4	32.1	24.6
ILMN_2621057	Ccdc88a	nan	11.8	6.6	8.2	10.8	8.9
ILMN_2671128	B230373P09RIK	28.4	54.7	17.4	25.7	42.9	35.4
ILMN_1221067	Nme1	4897.7	7000.8	3915.9	4657	5512.6	5291.7
ILMN_1253008	Acat2	252	359.3	200.5	242.2	292.6	270.9
ILMN_2703267	Nes	85.5	155.9	62.3	66	110.6	104
ILMN_2501692	Cdr2l	62.3	93.2	48.1	52.8	74.6	76.4
ILMN_1224607	Vash1	74.8	170.4	46.7	63.2	109.1	114.6
ILMN_1241211	Gucy1a3	12.1	22.1	8.3	10.1	17.3	18.1
ILMN_2686745	Rgs12	116.7	219.4	104.3	134.3	172.9	150.2
ILMN_1226181	Gm10295	13.8	33.3	10.5	15.4	26.8	20.7
ILMN_2784402	Tmc1	8.2	26.2	3.5	7.9	19	11.7
ILMN_3065642	2610020H08Rik	nan	nan	6.2	8.8	12.1	9.7
ILMN_1218151	Adcy4	12.5	26.5	7.1	13.3	21.3	17.2
ILMN_1232030	Kif4	14.9	31.3	7	15.6	23.8	18.7
ILMN_2822850	Serpinh1	122.4	280.8	67.9	125.6	321.9	172.1
ILMN_2740217	Rasip1	47.5	97.1	31.4	43.4	87.1	59.3
ILMN_1260095	Gm4758	13.6	23.3	10	11.1	27.6	14
ILMN_1252475	Cfap58	nan	19	11.6	11.8	22.3	13.7
ILMN_1237928	LOC383028	6.3	9.6	5.5	5.9	10.5	7.1
ILMN_1253276	Peli2	nan	14.1	11.1	11.7	14.7	12
ILMN_2500540	Lin7a	69.9	106.3	53.6	51.5	110.2	65.3
ILMN_2925855	Olfr1089	nan	18.7	16.5	16.8	18.6	16.1
ILMN_2463260	Lpp	240.8	339.3	196.3	189.8	324.7	220
ILMN_1231226	2410089E03Rik	13.4	18	11	10.4	19.7	12.2
ILMN_2724194	Clmp	38.9	46.5	31.9	36.2	52.7	37.9
ILMN_2937122	Trak1	423.3	494.3	393.8	423.4	531.3	441
ILMN_1221311	Ttyh3	110.5	129.8	102.2	103.3	137.2	108.4
ILMN_2981818	Mrps7	1092.4	1424.7	1102.1	1117.3	1339.7	1211.6
ILMN_2510474	Tro	31	37.6	30.8	30	37	33.3
ILMN_2507040	4930483J18RIK	nan	14	11.5	12	13.5	12.2
ILMN_2700751	Taf5l	133.1	163	122	132.4	159.5	141.7
ILMN_1226183	Antxr1	123.7	170.4	67.8	83.6	182.2	103.7
ILMN_2722716	Atp1a2	16.5	19.8	8.9	12.1	22.8	13.7
ILMN_1241891	Edil3	nan	18	4.9	8.1	19.1	11.2
ILMN_2681936	Purg	20.5	23	16.5	19.2	23.1	19.9
ILMN_1229267	Cyp2a5	nan	22.8	12.3	15.4	24.7	18
ILMN_1229643	Antxr1	92.6	144.3	56.5	71.9	151.5	115
ILMN_1234662	Mb	nan	17.9	12	13.9	18	15.5
ILMN_2743912	MLH3	nan	21.9	12.8	14	22	17.2
ILMN_2524779	A330068P14	nan	11.9	5.5	5.9	11.6	8.2
ILMN_1235044	Myo1b	18.9	22	16.2	18.9	22.6	18.8
ILMN_2648524	Lrrc38	nan	14.3	6.7	9.2	15.8	10.2
ILMN_1229309	Vrk1	156.3	188.8	116.9	143.5	209.5	151.7
ILMN_1229667	Slc43a1	41.1	50.3	26.1	26.9	52.5	31.4
ILMN_2729364	Glra2	15.5	19.2	8.1	9.7	19.8	10.7
ILMN_2526323	Espnl	nan	12.1	9.4	10.4	11.8	9.8
ILMN_1234544	LOC331626	18.1	24.6	10	13	25.6	13.8
ILMN_2471166	Tmc6	569.4	678	619.9	655.8	698	595.6
ILMN_1253622	LOC331209	nan	15.6	nan	7.8	10.3	9.1
ILMN_2777359	Serpinh1	2921.8	3914.4	1400.6	2083.1	2654	2384
ILMN_2736826	Slbp	11.4	17.3	4.6	7.3	9.7	8.8
ILMN_2647792	Rab13	76.8	80.1	23.3	40.6	53.7	48.4
ILMN_2539806	Sbk2	11.8	14.4	6.9	9.4	11.8	10.3
ILMN_2457585	Trp53inp2	250.2	281.2	138.9	174.5	234.3	209.4
ILMN_1256389	Fam217b	nan	17.7	6.6	9.1	13.7	11.9
ILMN_1247930	Nqo2	173	225.2	120.5	154	191	180.6
ILMN_2772380	Mrto4	307.5	331.8	196.5	207.3	277.6	251.8
ILMN_2538422	Adap1	521	606.1	252.3	269.9	440.1	377.7
ILMN_2525400	D430038H04RIK	nan	14.5	6.8	8.1	11.4	10.3
ILMN_2732482	DRBP1	637.8	698.2	445.3	502.3	590.3	548.3
ILMN_1236448	Celf6	nan	20.9	11.6	12.7	15	15.1
ILMN_1256084	Arpp21	10.7	18.2	6.4	6.9	11.7	9.9
ILMN_1251233	Gng11	55.3	73.1	34.2	37.1	50.6	52.1
ILMN_2640883	Nde1	215.7	284.7	154.9	158.8	212.9	227
ILMN_2608214	Klf8	16.3	22.3	12.4	16	18.7	13.6
ILMN_2618408	Icam2	68.2	110.6	30.5	46.6	77.2	42.6
ILMN_2531408	LOC277902	15.4	21.4	9.7	13.8	16.9	12.2
ILMN_1255177	Pdia5	293	380.3	163.9	223.2	312.5	197.5
ILMN_2623280	Osmr	433.8	621.2	315.7	401.9	521.1	362.8
ILMN_2745480	Fgf13	65.8	100.6	29.7	47	56.6	45.8
ILMN_2901180	Spc25	46.7	75.4	23.4	33.9	45.6	33
ILMN_2669912	Nrp1	780	1057.7	276	403.4	638.2	448.6
ILMN_2486295	Vmn1r235	19.7	27.1	10.5	14.5	19.2	14.1
ILMN_2775220	Rsph9	188.6	230.4	174.5	205.7	212.8	193.4
ILMN_2745551	Olfml2b	487.9	672.2	272.4	407.6	623	421.1
ILMN_2602789	LOC100045280	21.3	29.7	14.1	19.7	23.6	18.4
ILMN_1260378	Csrp1	2327.4	3500.4	1296.3	1910.4	2606.6	1944.6
ILMN_2848071	Aspdh	22.8	40.8	8.8	15.4	26.7	17.4
ILMN_2835637	Olfr668	16.5	30.7	6.9	13.3	18.3	12.9
ILMN_1236546	Slc25a13	nan	22.7	14.5	17.8	18.9	16.4
ILMN_1229975	Ndufc1	2063.6	2427.4	1926.3	2296.8	2259	1980.3
ILMN_2963009	D630003M21Rik	96	118.1	40.9	56.1	95	66.4
ILMN_2753497	Ccnb1	76	90.8	24.7	39.3	65.8	45.4
ILMN_2740285	Fancl	81.7	93.1	51.9	68.4	82.3	62.3
ILMN_2925424	Slc2a13	38.9	53.9	22.5	28.6	46.8	32.1
ILMN_2457437	A830080H07Rik	129.4	164.5	75.5	94.7	140.8	101.3
ILMN_2689331	Mia3	nan	11.5	8.8	10	11	9.1
ILMN_1219905	Tac1	19.8	22.9	16.4	19.4	21.5	18.3
ILMN_1243752	Tsen15	307.8	343.8	285.4	350.9	321	297.1
ILMN_2530857	LOC381111	16.6	18.3	14.5	20.1	16.3	15.3
ILMN_1235445	Nfs1	33.1	37.2	33.3	38.1	34.6	31.7
ILMN_3000536	Med11	240.6	251.6	228.8	272.4	242.7	236.9
ILMN_2455892	SCL0003499.1_101	nan	17.2	10.6	13.8	12.8	10.5
ILMN_1249767	Thbd	118.8	167.3	43.9	83.8	75.7	54
ILMN_1221888	A530058N18RIK	14.5	19.4	9.8	13.9	12.5	9.9
ILMN_1218934	Rdm1	697.7	870.7	597	715.2	652	583.5
ILMN_3094506	Arhgef15	72.4	90.9	46.2	67.4	58.8	53.3
ILMN_1259198	Glt8d1	27.4	34.2	20.9	28.2	25	22.4
ILMN_2475376	Fads6	129.3	172.7	105.8	130.6	126.7	111.7
ILMN_1232067	Ccdc124	741	940.2	516.3	655.9	659.6	564.6
ILMN_2744459	Alg3	151.1	200.1	107.8	157	145.8	123.8
ILMN_1218319	1700013H16RIK	nan	24	7.8	14.7	13.8	10.9
ILMN_1229161	Eng	276.1	444.7	150.4	269.8	242.1	194.3
ILMN_2931411	Cct3	1867.1	2360.2	1512.3	2128.3	1790.1	1634.8
ILMN_2965417	Npm3-ps1	2192	2678.6	1871.3	2431.8	2071.7	1844
ILMN_2939434	Tfeb	nan	20.7	8.9	16.2	13.5	10.5
ILMN_1232175	Chtf18	46.2	66.2	28.8	51.4	41.2	33.7
ILMN_2440807	Whsc1	36.2	49.1	25.3	41.6	33.2	26.6
ILMN_2703341	Stk10	nan	30.4	9.5	19.1	15.7	11.1
ILMN_1242310	Camkk1	26	38.8	20.2	31.7	26.7	21.2
ILMN_1222754	B230396K19RIK	36.8	52.1	14.3	45.6	23.8	18.6
ILMN_1256301	Rcc2	30.5	38.8	17.6	36.7	25	18.5
ILMN_1212695	Gpr84	30.3	44.9	11.6	33.4	20.8	15.9
ILMN_1222031	Zfp276	19.6	30.1	12	26.9	17.7	12.9
ILMN_3114461	Zfp936	nan	14.6	6.1	13.7	9.4	6.4
ILMN_2994063	2810004N23Rik	81.6	148.8	27.2	123.3	57	36.3
ILMN_2667550	Ppil1	255.9	419.1	153.7	293.5	243.2	158.9
ILMN_2766592	Sipa1l2	99.5	146.8	57.3	107.8	88.6	58.9
ILMN_2918002	Gbp3	91	121	69.7	111.2	95.9	70.2
